gameId,gameDuration,seasonId,winner,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,t1_dragonKills,t2_dragonKills
3326374698,1966,2023 S2,1,1,1,1,1,2,2,0,1
3322822484,2485,2023 S2,1,2,1,1,2,1,0,1,3
3304305585,1667,2023 S2,1,1,1,1,1,2,1,1,2
3328380498,194,2023 S2,1,2,1,1,0,0,0,0,0
3322556499,1491,2023 S2,1,2,1,1,1,1,1,2,0
3310123729,2161,2023 S2,1,2,2,1,1,2,0,3,1
3264188011,2090,2023 S2,1,1,1,1,1,1,1,3,1
3288227031,2127,2023 S2,2,1,1,2,2,1,0,2,2
3326425118,1941,2023 S2,1,1,1,1,0,2,0,1,1
3313791303,2023,2023 S2,2,1,2,2,2,2,1,0,2
3322830679,1987,2023 S2,1,2,2,1,1,1,0,3,0
3326181204,1030,2023 S2,2,2,2,2,0,2,0,0,2
3328296361,3112,2023 S2,2,2,2,2,2,2,0,0,5
3327745335,2204,2023 S2,2,2,2,2,2,2,2,0,4
3319582704,1755,2023 S2,1,2,1,1,0,2,0,0,3
3230899500,1866,2023 S2,1,2,2,1,1,2,0,1,2
3319775181,2371,2023 S2,2,2,2,2,2,2,2,0,3
3254262347,1701,2023 S2,2,1,2,2,2,2,0,0,3
3319806343,1409,2023 S2,2,1,2,1,0,2,1,0,2
3275428110,1850,2023 S2,2,1,2,2,2,2,1,0,2
3329536964,1704,2023 S2,2,1,1,2,2,2,1,1,1
3286850142,1714,2023 S2,2,2,2,2,1,2,2,1,2
3309433702,2396,2023 S2,2,2,1,1,2,2,0,2,2
3330004490,2032,2023 S2,1,1,0,1,1,1,1,2,1
3327238739,983,2023 S2,2,2,2,0,0,2,0,0,1
3316075595,1485,2023 S2,1,2,2,1,0,1,1,2,0
3329983523,1258,2023 S2,2,2,0,0,0,2,2,0,2
3331111505,1716,2023 S2,1,1,1,1,1,1,0,3,0
3319867316,2657,2023 S2,1,1,1,2,2,2,1,3,2
3324352194,2325,2023 S2,2,1,2,2,2,1,1,4,0
3320793353,1525,2023 S2,1,2,1,1,0,1,1,2,0
3284058542,1955,2023 S2,1,1,1,1,1,1,0,4,0
3309470054,2221,2023 S2,2,1,2,2,2,1,0,1,1
3310726133,2624,2023 S2,1,1,2,1,1,1,0,5,0
3324793567,1972,2023 S2,2,2,2,2,0,2,0,0,4
3230506464,2336,2023 S2,2,1,1,1,1,1,0,4,1
3324717077,1732,2023 S2,2,1,1,2,2,1,1,1,1
3326478495,2681,2023 S2,1,1,1,1,0,1,1,3,0
3322617461,1743,2023 S2,2,2,2,2,2,2,0,1,2
3321023285,919,2023 S2,1,1,0,0,0,1,0,1,0
3248903855,2164,2023 S2,1,2,1,1,1,1,0,2,1
3286090811,2290,2023 S2,1,2,2,2,1,1,0,2,2
3321160476,1045,2023 S2,1,2,0,0,0,2,0,1,1
3331068920,1492,2023 S2,1,1,1,1,1,1,2,1,0
3331487200,2051,2023 S2,2,2,2,2,2,2,0,2,1
3324351858,2079,2023 S2,1,2,2,1,1,1,1,2,0
3330332236,1227,2023 S2,2,2,2,0,0,2,0,0,3
3320252121,1869,2023 S2,1,1,1,1,2,2,0,1,2
3322657425,2186,2023 S2,2,1,2,2,0,2,0,1,3
3264023921,1784,2023 S2,1,1,1,1,0,1,1,2,0
3287413305,2278,2023 S2,2,2,2,1,1,2,0,1,2
3286824117,2452,2023 S2,2,1,1,1,1,2,1,0,5
3283692968,2127,2023 S2,2,2,2,2,0,2,2,0,3
3315676472,2513,2023 S2,1,1,2,2,2,2,2,0,4
3329880287,1713,2023 S2,2,2,2,2,0,2,0,0,2
3256851404,1863,2023 S2,2,2,1,2,2,2,2,0,3
3322921028,1500,2023 S2,1,1,2,1,0,2,0,1,2
3330656762,2127,2023 S2,2,1,1,2,2,2,0,1,2
3324035690,1930,2023 S2,1,2,2,1,0,1,2,2,0
3313541180,1956,2023 S2,2,1,1,2,2,2,0,2,2
3314032288,1720,2023 S2,1,1,1,1,2,1,0,2,0
3328302993,1885,2023 S2,1,1,1,1,1,1,0,3,0
3316157443,1467,2023 S2,2,2,2,2,0,2,2,0,2
3262566023,2382,2023 S2,1,1,2,2,1,1,0,4,0
3316922934,2189,2023 S2,2,2,2,2,2,1,2,1,3
3292655961,1350,2023 S2,2,2,2,0,2,1,0,1,1
3330497092,1504,2023 S2,1,2,1,1,1,1,1,3,0
3329056233,2736,2023 S2,2,2,2,1,1,2,0,0,5
3321370086,1951,2023 S2,1,2,1,1,0,2,0,1,1
3330967396,1647,2023 S2,2,1,2,2,2,1,2,1,2
3321237209,2065,2023 S2,2,1,2,2,2,1,2,1,1
3324527100,2563,2023 S2,2,2,2,2,2,2,0,0,4
3252043741,1728,2023 S2,2,1,2,2,2,2,2,0,2
3277839897,1998,2023 S2,1,2,2,1,1,1,0,2,0
3317165788,2677,2023 S2,1,1,1,1,1,1,0,2,1
3328402883,2108,2023 S2,1,1,2,2,1,2,0,0,3
3235906751,1729,2023 S2,1,1,2,1,0,2,0,2,1
3249928875,2617,2023 S2,2,2,1,1,2,2,1,2,3
3317642539,1480,2023 S2,1,2,1,1,1,2,1,0,1
3319794543,1819,2023 S2,1,1,1,1,1,1,0,3,0
3280426829,1971,2023 S2,2,1,0,0,0,1,0,2,0
3236008776,1906,2023 S2,1,1,1,1,1,2,0,3,1
3329973464,2039,2023 S2,2,1,2,2,2,2,0,0,4
3280461546,2213,2023 S2,2,1,2,2,2,2,0,2,1
3318753342,1907,2023 S2,1,1,1,1,1,1,1,2,0
3275902499,2014,2023 S2,1,1,1,1,1,2,0,2,1
3307797106,2121,2023 S2,2,2,2,2,2,2,2,1,3
3268298646,2121,2023 S2,1,1,2,1,1,2,0,1,2
3301296189,1460,2023 S2,1,1,1,1,0,2,0,1,1
3269464102,2079,2023 S2,2,2,2,2,0,1,1,1,3
3318681419,2295,2023 S2,1,2,1,1,0,2,0,2,2
3326191167,2348,2023 S2,1,2,2,1,0,2,0,1,4
3322282761,1486,2023 S2,2,2,2,2,2,2,2,0,2
3329261041,1700,2023 S2,1,1,2,1,1,1,2,2,0
3326235618,1589,2023 S2,2,1,1,2,2,1,0,1,1
3279563100,1423,2023 S2,1,2,1,1,0,1,0,2,0
3243244573,2343,2023 S2,2,1,1,1,1,1,1,1,4
3309462813,2188,2023 S2,1,1,2,1,1,1,2,2,2
3329830474,2039,2023 S2,1,1,1,1,1,1,1,3,2
3325784626,2537,2023 S2,2,2,1,1,2,1,2,3,2
